DAFTAR SKILL IOGEMU
Total Skill: 105

Ringkasan per Type:
- Magic: 17
- Defense: 12
- Melee: 11
- Sustain: 11
- Ranged: 10
- Utility: 10
- Debuff: 10
- Mobility: 9
- Control: 8
- Support: 5
- Limited: 2

Daftar Lengkap Skill:
001. Stone Skin | ID: stoneSkin | Type: Defense | Rank: Common | Limited: No
002. Titan Bastion Common | ID: common_filler_1 | Type: Defense | Rank: Common | Limited: No
003. Arcane Bolt | ID: arcaneBolt | Type: Magic | Rank: Common | Limited: No
004. Eternal Rift Common | ID: common_filler_4 | Type: Magic | Rank: Common | Limited: No
005. Meteor Spear | ID: meteorSpear | Type: Magic | Rank: Common | Limited: No
006. Blade Rush | ID: bladeRush | Type: Melee | Rank: Common | Limited: No
007. Twin Fang | ID: twinFang | Type: Melee | Rank: Common | Limited: No
008. Whirl Slash | ID: whirlSlash | Type: Melee | Rank: Common | Limited: No
009. Swift Stride | ID: swiftStride | Type: Mobility | Rank: Common | Limited: No
010. Hunter Instinct | ID: hunterInstinct | Type: Ranged | Rank: Common | Limited: No
011. Rupture Shot | ID: ruptureShot | Type: Ranged | Rank: Common | Limited: No
012. Guardian Aura | ID: guardianAura | Type: Support | Rank: Common | Limited: No
013. Guardian Prayer | ID: guardianPrayer | Type: Support | Rank: Common | Limited: No
014. Venom Pulse Common | ID: common_filler_2 | Type: Sustain | Rank: Common | Limited: No
015. Storm Tempo Common | ID: common_filler_3 | Type: Utility | Rank: Common | Limited: No
016. Gravity Rend | ID: gravityRend | Type: Control | Rank: Uncommon | Limited: No
017. Poison Cloud | ID: poisonCloud | Type: Debuff | Rank: Uncommon | Limited: No
018. Toxic Rain | ID: toxicRain | Type: Debuff | Rank: Uncommon | Limited: No
019. Bastion Core | ID: bastionCore | Type: Defense | Rank: Uncommon | Limited: No
020. Iron Will | ID: ironWill | Type: Defense | Rank: Uncommon | Limited: No
021. Ember Lance | ID: emberLance | Type: Magic | Rank: Uncommon | Limited: No
022. Eternal Rift Uncommon | ID: uncommon_filler_2 | Type: Magic | Rank: Uncommon | Limited: No
023. Fireball Barrage | ID: fireball | Type: Magic | Rank: Uncommon | Limited: No
024. Frost Nova | ID: frostNova | Type: Magic | Rank: Uncommon | Limited: No
025. Astral Rend Uncommon | ID: uncommon_filler_3 | Type: Melee | Rank: Uncommon | Limited: No
026. Ember Volley | ID: emberVolley | Type: Ranged | Rank: Uncommon | Limited: No
027. Spirit Link | ID: spiritLink | Type: Support | Rank: Uncommon | Limited: No
028. Vitality Bloom | ID: vitalityBloom | Type: Sustain | Rank: Uncommon | Limited: No
029. Quick Harvest | ID: quickHarvest | Type: Utility | Rank: Uncommon | Limited: No
030. Storm Tempo Uncommon | ID: uncommon_filler_1 | Type: Utility | Rank: Uncommon | Limited: No
031. Blood Hex | ID: bloodHex | Type: Debuff | Rank: Epic | Limited: No
032. Silent Curse Epic | ID: epic_filler_1 | Type: Debuff | Rank: Epic | Limited: No
033. Arc Shield | ID: arcShield | Type: Defense | Rank: Epic | Limited: No
034. Titan Bastion Epic | ID: epic_filler_3 | Type: Defense | Rank: Epic | Limited: No
035. Chain Lightning | ID: chainLightning | Type: Magic | Rank: Epic | Limited: No
036. Plasma Orbit | ID: plasmaOrbit | Type: Magic | Rank: Epic | Limited: No
037. Void Spike | ID: voidSpike | Type: Magic | Rank: Epic | Limited: No
